,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ta Tum Tum","MC Kevinho",3061747,https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
2,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,2875731,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
3,"Propaganda - Ao Vivo","Jorge & Mateus",2456864,https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK
4,"Apelido Carinhoso","Gusttavo Lima",2434089,https://open.spotify.com/track/6wXYGqXCLtEHx4VDb2TPcM
5,"Tô Com Moral No Céu! - Ao Vivo","Matheus & Kauan",2234730,https://open.spotify.com/track/6ys0kXJnE7wBQKvGrTg0VQ
6,Envolvimento,"MC Loma e As Gêmeas Lacração",2128549,https://open.spotify.com/track/1Wolb8MRcXR2IMMaELTRpE
7,"Trincadinho - Ao Vivo","Jorge & Mateus",2077066,https://open.spotify.com/track/5qjMyKkmosPBws5cImS9Zz
8,"Coladinha em Mim - Ao Vivo","Gustavo Mioto",2020704,https://open.spotify.com/track/4JPSfCXQe6kDliMIJTqISW
9,"Largado As Traças - Acústico","Zé Neto & Cristiano",2009817,https://open.spotify.com/track/65CTrkKjcQcZmyv0373syo
10,"Dona Maria","Thiago Brava",1999916,https://open.spotify.com/track/0dGqIEsFN3KakdPCMkgjre
11,"Amor Da Sua Cama","Felipe Araújo",1993932,https://open.spotify.com/track/2cwFhwT6L2D4Olc25nhyZo
12,"Anti-Amor - Ao Vivo","Gustavo Mioto",1988806,https://open.spotify.com/track/7JdZZfozlODQ08ATf8xIZ6
13,"Deixa Ela Beijar","Matheus & Kauan",1956128,https://open.spotify.com/track/7q5agbUOzZnVF4Yes3AD7I
14,"Agora Vai Sentar","MC's Jhowzinho & Kadinho",1869222,https://open.spotify.com/track/0pDaqgIForVNO4jrtTxcWT
15,Downtown,Anitta,1819621,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
16,"Amar Amei","Mc Don Juan",1752929,https://open.spotify.com/track/1kNVJQEkobOlyfbctPZ4fs
17,"Deixe Me Ir - Acústico",1Kilo,1723588,https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO
18,"God's Plan",Drake,1615140,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
19,"Tem Café",Gaab,1611215,https://open.spotify.com/track/4lNriuYNZD2YP2OPG6xOte
20,"Permanecer (feat. MC G15)","Lucas Lucco",1602439,https://open.spotify.com/track/3sIMCkwUZbQbWeNOTG3ET4
21,"Amigo Taxista","Zé Neto & Cristiano",1571091,https://open.spotify.com/track/6LEFk0KHRfahO5pOMJlbdV
22,Rabiola,"MC Kevinho",1537188,https://open.spotify.com/track/228vRHzGfQh47EfLjuY1Yr
23,"Raspão (feat. Simone & Simaria) - Ao Vivo","Henrique & Diego",1477118,https://open.spotify.com/track/6gquljDBW7rE6mCBzmTRxo
24,"Troféu do Ano","Jerry Smith",1431461,https://open.spotify.com/track/7CtFr21TzdM4ntuBkwzpxg
25,"Ritmo Mexicano","Mc Gw",1395358,https://open.spotify.com/track/6ZR7rT7vfwtY0EqyLeyAaO
26,"Ar-Condicionado No 15 - Ao Vivo","Wesley Safadão",1391989,https://open.spotify.com/track/5ac0YTpOaDX9wEYYyGCglL
27,"Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo","Atitude 67",1390255,https://open.spotify.com/track/0Goo8GkDXERy3IFTQ8BYjz
28,"Big Jet Plane",Alok,1371182,https://open.spotify.com/track/3lInRGfft6CCsJJPZX3AXq
29,"Regime Fechado - Ao Vivo","Simone & Simaria",1351644,https://open.spotify.com/track/6UZJOc2HBrTp9DYfir9N8n
30,"Pesadão (Participação especial Marcelo Falcão)",IZA,1315118,https://open.spotify.com/track/1BkyiAw1L0BOHYckwpRX4V
31,Transplante,"Marília Mendonça",1297793,https://open.spotify.com/track/6uyMtLQXZ8amkLyv5l7F7O
32,"Quase - Ao Vivo","Cleber & Cauan",1293807,https://open.spotify.com/track/1504k2wy349EtgioaW78Ht
33,IDGAF,"Dua Lipa",1293566,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
34,"Havana (feat. Young Thug)","Camila Cabello",1289395,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
35,"A Mala É Falsa - Ao Vivo","Felipe Araújo",1250642,https://open.spotify.com/track/6BPt2sVRvE41rUixcCAHY6
36,"Azul Piscina","Mc Livinho",1247406,https://open.spotify.com/track/7ieFtgZBYSC94nGs5yF0Wk
