,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",2990971,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,"Hasta Que Dios Diga","Anuel AA",2900706,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
3,PAM,"Justin Quiles",2423073,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
4,"TKN (feat. Travis Scott)",ROSALÍA,2313426,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
5,"Sur y Norte","Ñengo Flow",1979976,https://open.spotify.com/track/2uy5wXDZQcdd89PvDBSfyy
6,"Mil Tequilas","Chema Rivas",1870641,https://open.spotify.com/track/0qvfIq8RsH3sOZk9JIuUhn
7,"Nunca Estoy","C. Tangana",1854836,https://open.spotify.com/track/6f4LYJwICqxoAILj82kwB0
8,"El Manual","Anuel AA",1841673,https://open.spotify.com/track/7kOf0qHO4Rcwk6QJifZDRJ
9,Jangueo,"Anuel AA",1781708,https://open.spotify.com/track/7KKh0ujp8agIiCrkiJhf81
10,"Hola, Nena (feat. Omar Montes)","Nyno Vargas",1634173,https://open.spotify.com/track/2EAwcFW9NeuhnZ0q5aYhFL
11,"Sola & Vacía","Casper Magico",1627732,https://open.spotify.com/track/46V4kseB66GjFGklCgynGX
12,Relación,Sech,1606011,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
13,PORFA,Feid,1557414,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
14,"Fútbol & Rumba (feat. Enrique Iglesias)","Anuel AA",1498343,https://open.spotify.com/track/2hDe0Ls5mVqs1XJqv7sbcM
15,Favorito,Camilo,1470064,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
16,"PA' ROMPERLA","Bad Bunny",1429031,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
17,Safaera,"Bad Bunny",1429027,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
18,"CÓMO SE SIENTE - Remix","Jhay Cortez",1375213,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
19,Amarillo,"J Balvin",1347370,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
20,Tusa,"KAROL G",1336733,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
21,Narcos,"Anuel AA",1283614,https://open.spotify.com/track/7mcdgAXmb35dakBnfDIv3q
22,"4 besos","Lola Indigo",1270317,https://open.spotify.com/track/49QwoSLuV69Fd8bwTqdZvs
23,Reggaetonera,"Anuel AA",1199145,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
24,"Se iluminaba","Fred De Palma",1159585,https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
25,"Dime Bbsita",Robledo,1156642,https://open.spotify.com/track/5mBWQ675Eb4j4fn6iuNnOe
26,Rojo,"J Balvin",1156086,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
27,"Tak Tiki Tak","Harry Nach",1148235,https://open.spotify.com/track/0aCTSZQTlmnjQucALTF00s
28,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",1118165,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
29,"BAD CON NICKY","Bad Bunny",1108635,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI
30,"Yo Perreo Sola","Bad Bunny",1105787,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
31,"El Efecto","Rauw Alejandro",1081690,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
32,Tattoo,"Rauw Alejandro",1041762,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
33,Loco,Beéle,1004261,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
