,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,2685618,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
2,TELÉFONO,Aitana,2475128,https://open.spotify.com/track/5h8VHxOBK1VWWj46T8fSly
3,"Sin Pijama","Becky G",2027523,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
4,"Ni La Hora","Ana Guerra",1880466,https://open.spotify.com/track/1he4G9w0zh5GokInpOSINW
5,Usted,"Juan Magán",1870210,https://open.spotify.com/track/79HTe42PihWUUq4BDjcuCq
6,"No Es Justo","J Balvin",1825713,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
7,"Ya No Quiero Ná","Lola Indigo",1784803,https://open.spotify.com/track/2A2Q4CYBcVvBF2OqgJ3OWX
8,"No Me Acuerdo",Thalía,1636601,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
9,"Te Boté - Remix","Nio Garcia",1618143,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
10,"Bien Duro","C. Tangana",1563111,https://open.spotify.com/track/3joo84oco9CD4dBsKNWRRW
11,Mujeres,"Mozart La Para",1516968,https://open.spotify.com/track/6xLvYhLOW2oETJoZv8ChU8
12,Clandestino,Shakira,1434270,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
13,Asesina,Brytiago,1310548,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
14,"La Cintura","Alvaro Soler",1239367,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
15,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo) (feat. Elvis Crespo)","Steve Aoki",1168962,https://open.spotify.com/track/5e45GhSF18JYoLpaq2F48h
16,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",1162219,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
17,"Déjala Que Baile (with Alejandro Sanz & Arkano)",Melendi,1156714,https://open.spotify.com/track/2KK9N6iBAisA0booTu3bGd
18,"MALAMENTE - Cap.1: Augurio",ROSALÍA,1156558,https://open.spotify.com/track/5zOAudPQIs5U8zP6LQGHmH
19,"X (feat. Maluma & Ozuna) - Remix","Nicky Jam",1111966,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
20,"Mi Cama - Remix","KAROL G",1088138,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
21,"I Like It","Cardi B",1067748,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
22,"Duro y Suave","Leslie Grace",1032984,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
23,"Me Niego (feat. Ozuna & Wisin)",Reik,1028979,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
24,"Estamos Bien","Bad Bunny",1021998,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
