,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
0,1,1,Despacito (Featuring Daddy Yankee),Luis Fonsi,4544416,4aWmUDTfIPGksMNLV2rQP2,0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,4,228200,Pop
1,2,2,Shape of You,Ed Sheeran,2161106,7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4,233713,Pop
2,3,3,Chantaje (feat. Maluma),Shakira,1661652,6mICuAdrwEjh6Y6lroV2Kg,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,4,195840,Pop Latino
3,4,4,Reggaetón Lento (Bailemos),CNCO,1639172,3AEZUABDXNtecAOSC1qTfo,0.761,0.838,4,-3.073,0,0.0502,0.4,0,0.176,0.71,93.974,4,222560,Pop Latino
4,5,5,El Amante,Nicky Jam,1537559,3umS4y3uQDkqekNjVpiRUs,0.683,0.691,8,-5.535,1,0.0432,0.243,0,0.14,0.732,179.91,4,219507,Urbano latino
5,6,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1323069,5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,4,251088,Dance
6,7,7,Safari,J Balvin,1110268,6rQSrBHf7HlZjtcMZ4S4bO,0.508,0.687,0,-4.361,1,0.326,0.551,3.41e-06,0.126,0.555,180.044,4,205600,Urbano latino
7,8,8,Otra vez (feat. J Balvin),Zion & Lennox,1043240,3QwBODjSEzelZyVjxPOHdq,0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016,4,209453,Urbano latino
8,9,9,Gyal You A Party Animal - Remix,Charly Black,973539,1AkTW13ysu0AJrwuM6UY0I,0.723,0.889,0,-4.017,1,0.0939,0.0673,0,0.363,0.701,101.032,4,224320,Dance
9,10,10,Castle on the Hill,Ed Sheeran,962917,6PCUP3dWmTjcTtXY02oFdT,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4,261154,Pop
