,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
0,1,1,A l'Ammoniaque,PNL,1836512,6aH3QgooXRmx8k8jzrSm3V,0.583,0.381,9,-10.033,0,0.0429,0.416,0.000226,0.0958,0.153,127.667,4,316378,none
1,2,2,Smog,Damso,1418681,1h1wmYG39fp6ZTgwlJ3Cv3,0.884,0.679,11,-6.051,1,0.0899,0.0205,0.000172,0.115,0.489,146.021,4,168093,none
2,3,3,SAD!,XXXTENTACION,1288286,3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4,166606,none
3,4,4,Habitué,Dosseh,1251638,5N2IdMvsijo5D0Jl3iz6yu,0.547,0.293,4,-11.376,0,0.0864,0.61,0.0,0.109,0.523,129.69,4,215046,none
4,5,5,One Kiss (with Dua Lipa),Calvin Harris,1141335,7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,4,214847,none
5,6,6,Feu de bois,Damso,1134021,4L0Iwsk1s8cbdBcEgdm8K5,0.789,0.633,2,-6.269,1,0.0734,0.256,1.31e-06,0.092,0.262,138.097,4,183307,none
6,7,7,Santana,Alonzo,1128748,0G0WC5ghZRRH6LJNNXtK1W,0.786,0.755,8,-7.185,1,0.0961,0.454,5.03e-06,0.138,0.665,146.058,4,230107,none
7,8,8,Djadja,Aya Nakamura,1085662,3XfnssSD9HMQ9LhVOJvXTE,0.811,0.797,5,-5.428,1,0.165,0.0617,0.0,0.112,0.541,97.988,4,171133,none
8,9,9,Don’t Matter To Me,Drake,1055296,36ONiya0OANYknz0GgJmwB,0.825,0.317,10,-12.39,1,0.0583,0.497,0.0128,0.11,0.136,103.001,4,245787,none
9,10,10,Mafiosa (feat. Caroliina),Lartiste,1037607,0WxiQqTcK3ZErx2mMWgtm6,0.867,0.724,6,-4.266,1,0.0978,0.258,0.0,0.0527,0.757,128.97,4,193700,none
10,11,11,God's Plan,Drake,964640,2VWbHHhWnMzKWPUs4IEEW9,0.754,0.449,7,-9.212,1,0.108,0.0329,7.84e-05,0.55,0.35,77.167,4,198973,none
11,12,12,X,Nicky Jam,952915,39N9RPD9MRb5WmoLzNzPeA,0.595,0.773,9,-4.736,0,0.0549,0.0364,0.00108,0.334,0.711,180.073,4,173628,none
12,13,13,Moonlight,XXXTENTACION,940165,0JP9xo3adEtGSdUEISiszL,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4,135090,none
13,14,14,Nevermind,Dennis Lloyd,895104,63SevszngYpZOwf63o61K4,0.6,0.688,5,-8.339,0,0.201,0.159,1.29e-05,0.409,0.0793,99.977,4,156600,none
14,15,15,Solo (feat. Demi Lovato),Clean Bandit,837321,6kPJZM97LwdG9QIsT7khp6,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,4,222653,none
15,16,16,Toto et Ninetta,Jul,830649,4DMSNaJcSirQN31BSf2BeZ,0.801,0.668,0,-4.429,1,0.0491,0.603,0.0,0.11,0.884,112.035,4,211667,none
