,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
0,1,1,Savage Love (Laxed - Siren Beat),Jawsh 685,32213438,1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,4,171375
1,2,2,ROCKSTAR (feat. Roddy Ricch),DaBaby,31441573,7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,4,181733
2,3,3,Blinding Lights,The Weeknd,28638630,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,200040
3,4,4,Watermelon Sugar,Harry Styles,27694331,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4,174000
4,5,5,my future,Billie Eilish,23520611,2ygvZOXrIeVL4xZmAWJT2C,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,4,208155
5,6,6,Roses - Imanbek Remix,SAINt JHN,22404832,2Wo6QQD1KMDWeFkkjLqwx5,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,4,176219
6,7,7,cardigan,Taylor Swift,21068173,4R2kfaDFhslZEMJqAFNpdd,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4,239560
7,8,8,Breaking Me,Topic,19573547,3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,4,166794
8,9,9,Come & Go (with Marshmello),Juice WRLD,18755776,7y7w4tl4MaRC2UMEj1mPtr,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,4,205485
9,10,10,exile (feat. Bon Iver),Taylor Swift,18179589,4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,4,285634
10,11,11,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,17956341,0EhpEsp4L0oRGM0vmeaN5e,0.571,0.693,6,-8.234,0,0.0545,0.00536,0,0.173,0.393,168.169,4,232253
11,12,12,Wishing Well,Juice WRLD,16868248,6o3QUC5oAE4g6WxRIFcZtb,0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,4,194621
12,13,13,La Jeepeta - Remix,Nio Garcia,16422823,6bvfJf4KjonPMuPfGfy3S2,0.814,0.714,4,-4.65,0,0.207,0.297,4.89e-06,0.091,0.789,176.013,4,345241
13,14,14,Dance Monkey,Tones And I,16371497,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,4,209755
14,15,15,death bed (coffee for your head),Powfu,16323343,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,4,173333
15,16,16,Rain On Me (with Ariana Grande),Lady Gaga,15545628,7ju97lgwC2rKQ6wwsf9no9,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,4,182200
16,17,17,ily (i love you baby) (feat. Emilee),Surf Mesa,14957434,62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,4,176547
17,18,18,Caramelo,Ozuna,14947164,3gD4J3RUHy4OUuZ3qAiaiG,0.728,0.806,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,4,217547
18,19,19,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,14747408,1pqnQ41XbfKjaFu6M0eGJp,0.76,0.658,7,-5.275,1,0.275,0.162,0,0.195,0.565,100.202,4,157944
19,20,20,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,14679976,2MbdDtCv5LUVjYy9RuGTgC,0.904,0.723,11,-5.224,0,0.26,0.0631,0,0.185,0.835,145.013,4,227478
20,21,21,MAMACITA,Black Eyed Peas,14239352,24IgCW19L8lXKyFZwzFtD3,0.88,0.626,2,-7.062,1,0.0473,0.19,0.000755,0.094,0.441,105.01,4,251429
21,22,22,Tattoo - Remix with Camilo,Rauw Alejandro,14106682,4ZRrLHqzhGRXYj2qcB4s5S,0.848,0.637,9,-5.132,1,0.156,0.0413,0,0.0521,0.698,96.988,4,222680
22,23,23,Relación,Sech,14083449,3ZG8N7aWw2meb6UrI5ZmnZ,0.805,0.562,7,-3.117,0,0.105,0.125,4.96e-06,0.148,0.767,172.094,4,184255
23,24,24,Blueberry Faygo,Lil Mosey,13868927,22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034,4,162547
24,25,25,Break My Heart,Dua Lipa,13824097,017PF4Q3l4DBUiWoXk4OWT,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,4,221820
25,26,26,the 1,Taylor Swift,13738333,0Jlcvv8IykzHaSmj49uNW8,0.777,0.357,0,-6.942,1,0.0522,0.757,7.28e-06,0.108,0.172,139.883,4,210252
26,27,27,Don't Start Now,Dua Lipa,13520839,3PfIrDoz19wz7qK7tYeu62,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,4,183290
27,28,28,La Curiosidad,Jay Wheeler,13310388,4HYDUMY0xSpeBr0AMY9cUz,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,4,219048
28,29,29,Someone You Loved,Lewis Capaldi,13287513,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4,182161
29,30,30,Toosie Slide,Drake,13285459,466cKvZn1j45IpxDdYZqdA,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,4,247059
30,31,31,POPSTAR (feat. Drake),DJ Khaled,13109435,6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,4,200221
31,32,32,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,13102912,1H7KnK26kc1YyellpbINEn,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,4,201600
32,33,33,How You Like That,BLACKPINK,12578532,3vAn0qZzdyuHamcrpkfiX3,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,4,181264
33,34,34,Party Girl,StaySolidRocky,12486464,3IJYUaN3tx04S4TYyZHKoP,0.735,0.444,6,-9.476,0,0.0973,0.58,0,0.091,0.684,130.09,4,147797
34,35,35,Head & Heart (feat. MNEK),Joel Corry,12394361,6cx06DFPPHchuUAcTxznu9,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,4,166028
