,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Genda Phool (feat. Payal Dev)",Badshah,1431580,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
2,Shayad,Pritam,957883,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
3,"death bed (coffee for your head)",Powfu,784142,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
4,Falling,"Trevor Daniel",775510,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
5,"Blinding Lights","The Weeknd",749088,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Illegal Weapon 2.0","Jasmine Sandlas",699151,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
7,"Ghungroo (From ""War"")","Arijit Singh",696596,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
8,Skechers,DripReport,687276,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
9,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,683759,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
10,"Intentions (feat. Quavo)","Justin Bieber",661377,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",645142,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
12,"Toosie Slide",Drake,620110,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
13,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",615734,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
14,"Haan Main Galat",Pritam,615622,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
15,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",593743,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
16,Makhna,"Tanishk Bagchi",549745,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
17,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",546029,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
18,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",524363,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
19,"Roses - Imanbek Remix","SAINt JHN",479727,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
20,"Don't Start Now","Dua Lipa",473111,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
21,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",466990,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
22,"Yaad Piya Ki Aane Lagi","Neha Kakkar",460551,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
23,Mehrama,Pritam,457394,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
24,Memories,"Maroon 5",452500,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
25,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",443252,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
26,"The Box","Roddy Ricch",439715,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
27,Señorita,"Shawn Mendes",434482,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
28,"Duniyaa (From ""Luka Chuppi"")",Akhil,429883,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
29,Yummy,"Justin Bieber",421147,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
30,"Lagdi Lahore Di","Guru Randhawa",419178,https://open.spotify.com/track/31d3tVd82tx2sjA2VQ3PMZ
31,Liggi,Ritviz,414371,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
32,"Muqabla (From ""Street Dancer 3D"")","Yash Narvekar",413222,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8
33,"Ve Maahi","Arijit Singh",411403,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
34,"Bhula Dunga","Darshan Raval",403906,https://open.spotify.com/track/7pmY8QjqZP8GRV6qBRpheu
35,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",403843,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
