,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Una volta ancora (feat. Ana Mena)","Fred De Palma",2830043,https://open.spotify.com/track/6gaeewGjNiQhWOUkWRSLTa
2,Chiasso,Random,2591202,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
3,"Dove e quando","Benji & Fede",2042720,https://open.spotify.com/track/5BAJMdCQqax0oBQigQTl5h
4,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,2042051,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
5,Lento,"Boro Boro",2016570,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
6,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",1780926,https://open.spotify.com/track/1MtmXPxXP4ntSjfF5xnOyM
7,"Nisciun' (feat. Geolier)","Rocco Hunt",1775691,https://open.spotify.com/track/6nUJr7wd4hiPBLjC8Db2Cr
8,"Margarita (con Marracash)",Elodie,1706540,https://open.spotify.com/track/3qBtltssunsFuzn6DxXI0b
9,Barrio,Mahmood,1680252,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
10,"Cin Cin",Alfa,1660208,https://open.spotify.com/track/0EThQdS5hqhByp2CLttKin
11,"La hit dell'estate",Shade,1623537,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
12,"Mambo Salentino",Boomdabash,1605974,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
13,Señorita,"Shawn Mendes",1577293,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
14,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",1528110,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
15,JAMBO,"Takagi & Ketra",1526523,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
16,"Non Ci Sto (con Marracash & Carl Brave)",Shablo,1462751,https://open.spotify.com/track/5stH9hqpR941AmiJ9tVzrN
17,"Na Na Na",Holden,1458285,https://open.spotify.com/track/1cg6IqyZgBCU6P34gY161z
18,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",1443007,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
19,Lalala,Y2K,1437879,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
20,Arrogante,Irama,1437227,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
21,"Look Back at It (feat. CAPO PLAZA)","A Boogie Wit da Hoodie",1392742,https://open.spotify.com/track/34Jnbbi34tPtYdutY5Pd6G
22,"Ostia Lido",J-AX,1387828,https://open.spotify.com/track/2J9TGb5CRT4omfAgnKmXn5
23,"Mon Fre - feat. Emis Killa",Shiva,1364237,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
24,Playa,"Baby K",1341329,https://open.spotify.com/track/7bBIBrSmHvdMlTC7b9p8Vq
25,China,"Anuel AA",1297028,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
26,"MARYLEAN (feat. Marracash) - prod. Low Kidd",MACHETE,1205453,https://open.spotify.com/track/28fRkU3vhqAJdl9i9458pQ
27,"HO PAURA DI USCIRE 2 - prod. Mace",MACHETE,1202930,https://open.spotify.com/track/0nFCpnM7nistUWXRZpzOWM
28,"Piece Of Your Heart",MEDUZA,1167057,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
29,"Piccola Stella",Ultimo,1049761,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
30,"Maradona y Pelé",Thegiornalisti,997374,https://open.spotify.com/track/3xALgUxUFNYIrbMew1sbnC
31,FIORI,Giaime,930376,https://open.spotify.com/track/500c6DLy4ag8gFAnkuzTxP
32,"Buonanotte Amò","Rocco Hunt",928940,https://open.spotify.com/track/0G9rMKBc4l9Knfd1Sw1cdi
33,"bad guy","Billie Eilish",922642,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
34,"Someone You Loved","Lewis Capaldi",880901,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
35,"I Don't Care (with Justin Bieber)","Ed Sheeran",865681,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
36,"È sempre bello",Coez,822045,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
37,"Senza Pensieri (feat. Loredana Bertè & J-AX)","Fabio Rovazzi",819900,https://open.spotify.com/track/1p9E8WC4aTSzArtqdQI1F5
38,"SCACCIACANI - feat. Massimo Pericolo - prod. Crookers & Nic Sarno",Ketama126,819096,https://open.spotify.com/track/2665YLaM0dLaIhkjpUHT7k
39,Ransom,"Lil Tecca",814119,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
40,"Veleno 7",Gemitaiz,805509,https://open.spotify.com/track/3fV9z98dnQLSIPIMMJXCm7
41,Loco,"Lele Blade",800557,https://open.spotify.com/track/7hgyYHFOV2qrSub0hoezte
42,"Vivere Tutte Le Vite - con Carl Brave",Elisa,800179,https://open.spotify.com/track/7l56nY7NMP1QDdWvRdJmmg
43,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,795363,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
44,Domenica,Coez,785122,https://open.spotify.com/track/2tVNMtgZ2CQpTx7vgcuTkL
45,"Beautiful People (feat. Khalid)","Ed Sheeran",772210,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
46,"Se Tornerai (feat. Neffa)","Rocco Hunt",741676,https://open.spotify.com/track/3fTvFZyr41XvhCtk4ohywa
47,"Rondini Al Guinzaglio",Ultimo,740127,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
48,"Per Un Milione",Boomdabash,705468,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
49,"Corazón Morado (feat. Sfera Ebbasta)","Elettra Lamborghini",691751,https://open.spotify.com/track/6stctriNY7UC7KyHcG7ZBH
50,m8nstar,"tha Supreme",678217,https://open.spotify.com/track/5Aw0QmDZJZID69ZcTvEzXI
51,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",678155,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
52,"Te Robaré","Nicky Jam",671646,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
53,Narcos,Geolier,660393,https://open.spotify.com/track/5ARhG6eeHv9QifsCP03E7Y
54,"MAMMASTOMALE (feat. Salmo) - prod. Dade",MACHETE,641153,https://open.spotify.com/track/5nFX29WZIulql4m4ic0KRw
55,"Testa tra le nuvole, Pt. 1",Alfa,632093,https://open.spotify.com/track/4q6Cq4aLWeg3fr6ywhJ9dC
56,"Con Calma","Daddy Yankee",615997,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
57,Mademoiselle,"Sfera Ebbasta",607019,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c
58,"48H (feat. Sfera Ebbasta)",Izi,602449,https://open.spotify.com/track/05mrU7mN3c1822bpY58UBC
59,Pianeti,Ultimo,595933,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
60,"I Tuoi Particolari",Ultimo,593298,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
61,"So cosa fare","Capo Plaza",592507,https://open.spotify.com/track/2bN0p91LZmBKmgmpIGu5RI
62,Bossoli,Shiva,579403,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
63,"Rip RMX (feat. Shiva)","Side Baby",576598,https://open.spotify.com/track/7xwOv1FJd8iqnCoj3BDjpV
64,"NO WAY (feat. Nitro) - prod. Low Kidd",MACHETE,571517,https://open.spotify.com/track/2gUn6S1SuuXK0BvypPKnir
65,"Mai Più (feat. Achille Lauro)","Rocco Hunt",569203,https://open.spotify.com/track/5vNkDJmNYpUqB58UFza5Jm
66,"Cracovia, Pt. 3","Il Tre",568561,https://open.spotify.com/track/18dt6tNw8hpNUdthOJf0lI
67,"DOPPIOGANG - prod. tha Supreme",MACHETE,568276,https://open.spotify.com/track/2nKUtJ6G05qVViRaXkXWQZ
68,"Rescue Me",OneRepublic,563651,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
69,"STAR WARS - prod. Young Miles - Crookers x Nic Sarno",MACHETE,558462,https://open.spotify.com/track/2umL0eO9N7iNxDay6i2rVi
70,90MIN,Salmo,555751,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
71,"Goodbyes (Feat. Young Thug)","Post Malone",548241,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
72,"D'estate non vale (feat. Ana Mena)","Fred De Palma",545443,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy
73,"MI AMI O NO (feat. Capo Plaza)",Giaime,542796,https://open.spotify.com/track/2UsAeEA2JH7kKSOflP23zY
74,"Mancavi tu","Peppe Soks",542620,https://open.spotify.com/track/21EqFEy8L8Db6aaPmIQd9E
75,Circles,"Post Malone",538475,https://open.spotify.com/track/4VginDwYTP2eaHJzO0QMjG
76,Polynesia,Gazzelle,530927,https://open.spotify.com/track/2QeCyjLDJ6qDJsCyofrEW9
77,"Pensare Male (con Elodie)","The Kolors",526236,https://open.spotify.com/track/0vUhEAJIaTGqBJfDsOZoNt
78,"Sorriso (Milano Dateo)","Calcutta ",525617,https://open.spotify.com/track/6Rg0AJvt1xa4hR2QH2fUhb
79,"Stamm Fort (feat. Sfera Ebbasta)",Luche,519734,https://open.spotify.com/track/7iTTQvztpfrDneVSX9IGBD
80,"Nuova Era (with Dardust)",Jovanotti,517485,https://open.spotify.com/track/3HoYNJMxEgTLKiMXjXeHjs
81,Soldi,Mahmood,507487,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
82,"1969 (feat. Boss Doms & Frenetik&Orang3)","Achille Lauro",506673,https://open.spotify.com/track/5fpddhtBYcQsRu2d4vJf1Q
83,"Senza Di Me (feat. Venerus & Franco126)",Gemitaiz,502642,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
84,"2% (feat. Frah Quintale)","Guè Pequeno",500928,https://open.spotify.com/track/5ODlTG5qxhCsC05E36Rv25
85,Libertà,"Rocco Hunt",500785,https://open.spotify.com/track/4CLe1nrn85ScQVC5mJvLSj
86,"Yo x Ti, Tu x Mi",ROSALÍA,499397,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
87,Callaita,"Bad Bunny",491540,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
88,"Cascare nei tuoi occhi",Ultimo,490514,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M
89,"Calma - Remix","Pedro Capó",478287,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
90,Panamera,NDG,474101,https://open.spotify.com/track/0Zvdpp7GLZYT3OVtx4myHl
91,"Otro Trago - Remix",Sech,465644,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
92,"7 miliardi","Massimo Pericolo",463686,https://open.spotify.com/track/67vjEOTkBppbVLUUq5mEJz
93,Ipocondria,Ultimo,458345,https://open.spotify.com/track/6YrDRkcDktxgsPcH8x77xm
94,Amici,"Massimo Pericolo",455866,https://open.spotify.com/track/7aVX95NjONZszSeb8vJZF3
95,"Fuoco e benzina","Emis Killa",445187,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc
96,"Non Abbiamo Età",Luche,445165,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3
97,"Don't Call Me Up",Mabel,443379,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
98,"Old Town Road","Lil Nas X",439396,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
99,"Ti dedico il silenzio",Ultimo,436365,https://open.spotify.com/track/6GLmGfALwjzCaOiHwgfU7g
100,Turbococco,Ghali,434016,https://open.spotify.com/track/143xRgiJanPo2U5RIZQdqh
101,Fulmine,Daniel,433288,https://open.spotify.com/track/7HypddhSrM5kuDodjvdaCr
102,"oh 9od","tha Supreme",432210,https://open.spotify.com/track/0UuqwLM3UFmwcXSJgfFHvr
103,"I Love You",Ghali,429658,https://open.spotify.com/track/7GOFNyZcCTwm1SsC5jOFpA
104,"Benvenuti In Italy","Rocco Hunt",425633,https://open.spotify.com/track/60c3TbWRHTfh7XCQCL5Xf5
105,Diavla,"Chris Viz",419831,https://open.spotify.com/track/1KfrcxnOLyDhd3p4hGrhVe
106,"Uno squillo","Capo Plaza",418228,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
