,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
0,1,1,Torna a casa,Måneskin,3159175,3590AAEoqH50z4UmhMIY85,0.425,0.638,1,-3.184,0,0.0759,0.426,0,0.177,0.45,81.396,4,230667
1,2,2,Prima di ogni cosa,Fedez,2865131,0juSegsrO7siAAjlNATKV2,0.617,0.476,5,-7.086,1,0.0446,0.643,0,0.316,0.429,131.683,3,186832
2,3,3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2108292,4w8niZpiMy6qz1mntFA5uM,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,4,212500
3,4,4,Cambiare Adesso,Dark Polo Gang,1775286,01MJgnPL3AuwmYQ4EbHzD7,0.666,0.777,5,-3.143,0,0.0587,0.279,1.47e-06,0.197,0.588,79.999,4,228975
4,5,5,Fuoco e benzina,Emis Killa,1516611,4Fs1sEg9Mwn6vykFD89xvc,0.682,0.711,5,-5.781,1,0.112,0.0497,0,0.0986,0.515,79.92,4,209180
5,6,6,Cascare nei tuoi occhi,Ultimo,1500240,60oJSn5MTG2VNvCJKwd65M,0.732,0.46,0,-8.629,1,0.104,0.541,0,0.0896,0.405,67.983,4,226160
6,7,7,Rollin',Gemitaiz,1500004,1LYkQC1JrgMhwMol3nVo35,0.778,0.556,7,-6.779,1,0.0933,0.302,0.000117,0.135,0.434,75.012,4,167414
7,8,8,90MIN,Salmo,1250331,1YzlPeHWPU0JeM0u4ya5zj,0.715,0.675,1,-7.657,1,0.301,0.035,0,0.842,0.535,122.224,4,231907
8,9,9,In My Mind,Dynoro,1091004,0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,4,184560
9,10,10,Fumo Da Solo,Izi,1086714,4sYbBt781iAS2S76IeMwIG,0.724,0.605,7,-8.14,0,0.0544,0.0626,0,0.108,0.52,140.091,4,221571
10,11,11,Girls Like You (feat. Cardi B),Maroon 5,986416,7fa9MBXhVfQ8P8Df9OEbD8,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,4,235545
11,12,12,D'estate non vale (feat. Ana Mena),Fred De Palma,975713,3dCEtkAfWhk15bLAWZAKLy,0.658,0.748,11,-5.802,0,0.142,0.0852,0,0.0789,0.69,179.919,4,157176
12,13,13,MIA (feat. Drake),Bad Bunny,956770,116H0KvKr2Zl4RPuVBruDO,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,4,210368
13,14,14,Poesia senza veli,Ultimo,937245,3f2b204xj4jZdoHjo9wj0W,0.739,0.519,8,-7.461,0,0.125,0.752,0,0.222,0.255,81.991,4,218167
14,15,15,Shallow,Lady Gaga,928219,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4,215733
15,16,16,Rollercoaster,Emis Killa,904212,4WJj8NsyCm3YAADCOe0hrf,0.744,0.866,11,-5.178,1,0.174,0.052,2.2e-05,0.0574,0.791,104.042,4,207550
16,17,17,Morirò da Re,Måneskin,890020,1aX0Ki80LFzzhqxqRlqbAV,0.605,0.881,10,-2.563,1,0.153,0.123,0,0.038,0.928,193.788,4,157880
17,18,18,Vaina Loca,Ozuna,869676,48zFZh27QU5qsrBjn4C2FA,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.982,4,176133
18,19,19,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,808253,2LskIZrCeLxRvCiGP8gxlh,0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,4,198903
19,20,20,Trap Phone (feat. Capo Plaza),Guè Pequeno,805706,50Vy6DvEWNLDaQV5j9TdDS,0.749,0.664,1,-5.414,0,0.0591,0.11,0,0.296,0.248,118.032,4,200533
20,21,21,Davide (feat. Coez),Gemitaiz,801920,1Lq5ApqhIWUXzlryFX2K6J,0.797,0.63,5,-7.601,1,0.0763,0.136,4.86e-06,0.207,0.761,126.006,4,206212
21,22,22,Se Piovesse Il Tuo Nome,Elisa,783157,7oETr2afFHIzjDIOpm4zPJ,0.561,0.712,1,-3.204,0,0.0292,0.326,1.63e-05,0.101,0.2,81.958,4,202533
22,23,23,Tutto tua madre,J-AX,777536,1PahySwtcIaiG7GUnCy9tx,0.582,0.741,0,-6.264,1,0.0678,0.128,0,0.343,0.226,128.219,4,226000
23,24,24,Pianeti,Ultimo,775740,2w5wtWq30yTkNSG9YjMFvW,0.55,0.488,8,-9.425,1,0.196,0.281,0,0.372,0.108,80.112,4,224000
24,25,25,New York,Thegiornalisti,760896,1nhEQjgj0NrtAoDuFEhMEL,0.573,0.722,7,-4.853,1,0.0492,0.0679,0,0.0662,0.495,151.936,4,219573
25,26,26,Bella e rovinata,Irama,760236,5uPQRVuGquShCnqzuOTq4B,0.549,0.646,10,-6.586,1,0.0428,0.258,0,0.0847,0.444,156.012,4,200869
26,27,27,Happier,Marshmello,758448,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,4,214290
27,28,28,Pablo,Rvssian,734667,0l8vhDaEztxLCQsFOAX64d,0.813,0.663,6,-7.84,0,0.0433,0.071,0,0.115,0.343,140.016,4,165942
28,29,29,Vertigini,Tedua,730170,1Oou7m2VuxCDSOdqsu07TU,0.579,0.774,5,-6.34,0,0.164,0.164,0,0.131,0.476,133.722,4,203040
29,30,30,Borsello (feat. Sfera Ebbasta & DrefGold),Guè Pequeno,705734,6gAySqc7QK27KEASxmc7Ag,0.77,0.584,2,-7.453,0,0.226,0.36,0,0.208,0.625,154.028,4,202827
30,31,31,Tesla (feat. Sfera Ebbasta & DrefGold),Capo Plaza,692022,093RgZ7RXHZwIrxZhZYX4Q,0.854,0.626,11,-5.14,1,0.0618,0.316,0,0.0961,0.377,140.05,4,185147
31,32,32,Un domani (feat. Mr.Rain),Annalisa,691706,5ZUbSBnGDbmBGcH2l1575M,0.745,0.832,7,-5.248,1,0.0906,0.226,0,0.118,0.839,135.007,4,223827
32,33,33,2% (feat. Frah Quintale),Guè Pequeno,689779,1GZPzAyqLxOu9ANPIKMlCs,0.754,0.602,10,-6.785,0,0.428,0.237,0,0.151,0.587,82.043,4,211840
33,34,34,L'altra dimensione,Måneskin,677962,36ONZ2CvV8KsLPapNPGTqa,0.715,0.839,5,-2.35,0,0.0602,0.524,0,0.266,0.539,111.371,4,126707
34,35,35,Promises (with Sam Smith),Calvin Harris,672646,5N5k9nd479b1xpDZ4usjrg,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,4,213309
35,36,36,Il ballo delle incertezze,Ultimo,658464,0Wq6iAraiUpSbBSPmv4gLu,0.654,0.76,3,-5.058,1,0.185,0.445,0,0.0548,0.413,144.098,4,203750
36,37,37,Bling Bling (Oro),Guè Pequeno,649775,0UyV3ehXT0z3wzkuW7fSxo,0.693,0.731,10,-6.149,0,0.0372,0.0412,0.000119,0.0812,0.419,97.959,4,208507
37,38,38,My Life Is Going On - Burak Yeter Remix,Burak Yeter,626486,2qzyXvxqBlOx4BUzbTzPvu,0.836,0.769,11,-5.15,0,0.0578,0.0152,0.0709,0.0865,0.576,100.012,4,226278
38,39,39,Le parole lontane,Måneskin,617629,1ABG6ke9SdUK9YayVafbcX,0.635,0.573,2,-4.114,0,0.0279,0.397,0,0.133,0.403,125.946,4,204933
39,40,40,Te Boté - Remix,Nio Garcia,613080,3V8UKqhEK5zBkBb6d6ub8i,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,4,417920
40,41,41,Fame,Nayt,611821,3WQJd5uYQ40Qlol1Q8pIpe,0.914,0.766,9,-7.707,0,0.0861,0.524,0,0.123,0.676,115.001,4,224000
41,42,42,Nera,Irama,595705,6Lc0La3OwOmAouQjbID4uX,0.767,0.819,0,-5.114,1,0.105,0.136,0,0.165,0.799,133.997,4,174147
42,43,43,Fotografia (feat. Francesca Michielin & Fabri Fibra),Carl Brave,590467,3fw3W15QK6a9UxJGgndtYu,0.707,0.539,0,-5.321,0,0.169,0.0438,0,0.0959,0.423,167.125,4,221413
43,44,44,Uno squillo,Capo Plaza,589825,7zivIUyCw9MmYftdcayXnN,0.801,0.724,1,-5.038,0,0.397,0.0586,0,0.0736,0.679,98.97,4,208813
44,45,45,Guarda Come Flexo 2,MamboLosco,586427,6PX2GtCt8YJzOQ4ulJM41k,0.843,0.528,1,-8.722,1,0.0657,0.061,4.52e-05,0.0617,0.459,140.05,4,178645
45,46,46,"Bella Giornata (prod. Dogslife, Mago del blocco) (feat. Dogslife & Mago del Blocco)",OG Eastbull,562631,76xea5TfeyVu8c4dGWpFD2,0.744,0.68,7,-4.98,1,0.332,0.627,4.44e-06,0.117,0.801,132.013,4,181368
46,47,47,Solo Te E Me (feat. Giulia Jean),GionnyScandal,558658,7zPr2eaVerEShHQ36BHQTD,0.484,0.669,4,-5.77,0,0.0501,0.0968,0,0.0849,0.273,159.79,4,204187
47,48,48,Sogni appesi,Ultimo,557612,2HgBmx6tfhRO417ahshpeQ,0.732,0.428,9,-9.654,1,0.119,0.904,0,0.137,0.639,127.413,4,212864
48,49,49,Modalità Aereo (feat. Luchè & Marracash),Guè Pequeno,535446,6rvSAESqueLmDe00pudWtr,0.737,0.676,6,-5.018,1,0.0789,0.182,5.16e-06,0.174,0.656,147.892,4,190480
49,50,50,"thank u, next",Ariana Grande,531703,2rPE9A1vEgShuZxxzR2tZH,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,4,207333
50,51,51,Amore e Capoeira,Takagi & Ketra,527485,5Vwqy3CS2aCB6jcgm1qWfk,0.827,0.697,11,-4.368,0,0.142,0.122,0,0.044,0.836,118.083,4,172455
51,52,52,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,512849,0cDwUAF7yQrOLRcFfJpSc2,0.634,0.653,6,-7.515,1,0.032,0.000452,0.000987,0.115,0.26,90.012,4,210935
52,53,53,Nuvola,Side Baby,491483,3ju5ga918R7mZhtUrbTd2E,0.821,0.438,0,-7.532,1,0.0726,0.329,0.000894,0.0836,0.147,128.029,4,214219
53,54,54,Ne è valsa la pena (feat. Ghali),Capo Plaza,488925,6GTCOWvhjvdk4pwlfrSjNO,0.593,0.654,5,-4.509,0,0.218,0.115,0,0.231,0.405,120.388,5,234600
54,55,55,Malibu,Vegas Jones,486287,08AN0HMXNr3DGGDCOWsTAw,0.809,0.544,0,-7.319,0,0.227,0.0753,0,0.0836,0.284,125.876,4,211519
55,56,56,Cocaina,Emis Killa,485924,3LuuuNvULPU1GOfSg0HG62,0.735,0.743,2,-4.551,1,0.131,0.0175,0,0.311,0.358,139.949,4,208526
56,57,57,Thunderclouds,Sia,484525,2c7GlMNmF7pbohjykutmLP,0.691,0.716,7,-5.985,1,0.0351,0.0085,9.06e-06,0.263,0.507,112.035,4,187027
57,58,58,Moonlight,XXXTENTACION,473288,0JP9xo3adEtGSdUEISiszL,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4,135090
58,59,59,Bulldozer,JUNIOR CALLY,471795,0KL5dwKffAA5SeD58pfBEp,0.753,0.826,7,-3.174,1,0.12,0.0451,0,0.067,0.395,127.941,4,150000
59,60,60,Jackie Chan,Tiësto,470716,4kWO6O1BUXcZmaxitpVUwp,0.747,0.834,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.005,4,215760
60,61,61,Felicità puttana,Thegiornalisti,468704,695AOnYHYnvHIMaTNKjkA5,0.692,0.856,0,-4.816,1,0.127,0.00763,1.89e-05,0.305,0.686,93.975,4,219807
61,62,62,Peace & Love,Charlie Charles,467139,4BGmYEDOK1swwoxTtfmVZD,0.68,0.785,8,-5.313,1,0.0615,0.14,0,0.309,0.319,152.962,4,182745
62,63,63,Youngblood,5 Seconds of Summer,466258,2iUXsYOEPhVqEBwsqP70rE,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,4,203418
63,64,64,La musica non c'è,Coez,459415,7MMJa7cjMadOSR6CFWvB1x,0.747,0.498,0,-6.674,1,0.0353,0.381,0,0.712,0.53,135.919,4,222787
64,65,65,Mwaka Moon - Remix,Kalash,458867,1OGORI9Hx45AEYqxkndMhN,0.768,0.556,1,-7.146,0,0.0739,0.0942,1.42e-05,0.107,0.24,155.07,4,237179
65,66,66,Porto Cervo,Lazza,456837,0TAt3c8KXb1D3sWT8ENar8,0.855,0.666,10,-4.581,0,0.104,0.2,0,0.0885,0.758,100.006,4,235425
66,67,67,Si chiama gioia,JUNIOR CALLY,453848,6EdWGU1xuFXJ14QTM62f4I,0.729,0.86,8,-4.766,0,0.146,0.109,0,0.091,0.335,115.98,4,126207
67,68,68,Be Alright,Dean Lewis,453639,3EPXxR3ImUwfayaurPi3cm,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,4,196373
68,69,69,Trova un modo,Alessandra Amoroso,449969,2OhD2CM731aBTpRACnAM4q,0.671,0.78,6,-4.363,1,0.0872,0.681,0,0.119,0.48,132.044,4,226933
69,70,70,SAD!,XXXTENTACION,445339,3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4,166606
70,71,71,La stella più fragile dell'universo,Ultimo,441202,3iHqUSg0LBRxAF5CzjBK9y,0.584,0.261,7,-8.293,1,0.0569,0.912,0,0.134,0.34,137.354,4,226000
71,72,72,Keanu Reeves (feat. Achille Lauro),Gemitaiz,440278,1MGXWglFoINJdrcp2W0U0w,0.811,0.59,4,-7.794,1,0.0437,0.0267,9.93e-06,0.111,0.166,102.709,4,209791
72,73,73,Hands Up (feat. DNCE),Merk & Kremont,438512,0nlyO7lNTOYB0gjDp7NI7H,0.755,0.725,4,-2.877,0,0.0673,0.115,0,0.16,0.558,107.996,4,165785
73,74,74,Immortale (feat. Vegas Jones),Måneskin,437514,7lMTjV6AkHGVdQpu3fLn48,0.778,0.91,2,-2.603,1,0.114,0.192,0,0.363,0.335,129.957,4,151187
74,75,75,Claro,Emis Killa,433916,6W2f9IsLo8nLFw301YjrrY,0.788,0.89,7,-4.539,1,0.0889,0.0215,0,0.157,0.455,130.069,4,224050
75,76,76,Non Abbiamo Età,Luche,432279,0NwuXciw6eQc4edjwSBnV3,0.372,0.689,6,-4.711,1,0.243,0.0522,0,0.154,0.191,193.259,4,181661
76,77,77,Balla,Zoda,425875,1ex3YwDpPLF2JeA8ZgPBto,0.451,0.844,3,-4.95,0,0.106,0.436,0,0.104,0.481,79.934,4,200777
77,78,78,Ci entro dentro,JUNIOR CALLY,424892,1owkr9YvUTwP6RaLMgNnjU,0.68,0.802,9,-4.405,1,0.124,0.0957,0,0.23,0.293,150.018,4,144200
78,79,79,Fumo bianco,Chadia Rodriguez,424448,54ivBWjaiBH5W2fAVYV1k3,0.746,0.751,10,-5.375,0,0.0414,0.226,2.48e-06,0.121,0.258,141.963,4,251831
79,80,80,Nero Bali,Elodie,415853,2hygc41DOo6dGocHEk6Jx1,0.638,0.836,6,-5.756,0,0.0362,0.017,0,0.286,0.629,116.045,4,183773
80,81,81,Solo (feat. Demi Lovato),Clean Bandit,406106,6kPJZM97LwdG9QIsT7khp6,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,4,222653
81,82,82,Without Me,Halsey,401758,5p7ujcrUXASCNwRaWNHR1C,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4,201661
82,83,83,Moscow Mule,Benji & Fede,400630,1Lfjom9CoL5hIyvjYey9zs,0.644,0.757,10,-4.575,1,0.134,0.526,0,0.167,0.856,110.074,4,179760
83,84,84,Da zero a cento,Baby K,397912,4cQR1R25cpABjPMzpybNSQ,0.605,0.641,3,-6.119,0,0.0655,0.0231,0,0.145,0.781,184.088,4,206195
84,85,85,Dope 2,Emis Killa,396915,4AsvicHWhsUfzPWPiC31cF,0.465,0.744,2,-6.191,1,0.385,0.0602,0,0.108,0.284,84.036,4,171723
85,86,86,Let You Love Me,Rita Ora,395212,6xtcFXSo8H9BZN637BMVKS,0.531,0.854,10,-3.149,1,0.198,0.288,0,0.0773,0.456,94.419,4,190000
86,87,87,Torna Da Me,Luche,387467,5iSHLCuc0K3pUW16b7sSP4,0.626,0.557,4,-5.541,0,0.0339,0.658,0,0.236,0.785,120.034,4,180010
87,88,88,Faccio Quello Che Voglio,Fabio Rovazzi,380162,3ZSiGHNkkWgFInQqPEP0xb,0.899,0.485,1,-12.466,0,0.0966,0.169,0.000235,0.0843,0.618,122.033,4,200656
88,89,89,I Love It (& Lil Pump),Kanye West,377176,4S8d14HvHb70ImctNgVzQQ,0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,4,127947
89,90,90,Pifferaio magico,JUNIOR CALLY,376723,3Y9AAqSPSXt9388DtgoMr1,0.785,0.847,4,-3.528,0,0.188,0.391,0,0.188,0.705,139.994,4,175929
90,91,91,Universale,Benji & Fede,371409,3A20rdsGLvHVAxrkGtrUTu,0.647,0.702,7,-4.933,1,0.0374,0.0337,0,0.37,0.582,139.015,4,174533
91,92,92,Splash,Dark Polo Gang,369157,3plul4vw51AF1e8FRykm96,0.709,0.772,1,-4.248,1,0.104,0.0263,0,0.139,0.422,125.053,4,181624
92,93,93,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,366624,1A6OTy97kk0mMdm78rHsm8,0.753,0.498,2,-5.61,1,0.0504,0.551,0,0.0706,0.927,89.95,4,158053
93,94,94,BEBE,6ix9ine,365787,7ATATJztoWLcqDAcVVof0C,0.635,0.902,0,-3.559,1,0.109,0.172,0,0.125,0.286,102.063,4,217822
94,95,95,Venom - Music From The Motion Picture,Eminem,360409,2SL6oP2YAEQbqsrkOzRGO4,0.749,0.794,0,-5.063,1,0.064,0.0193,0,0.543,0.46,135.959,4,269554
95,96,96,Sh*t Blvd,Måneskin,359173,0njCMF5v4zYAtNe3tkaRSC,0.709,0.714,11,-3.821,0,0.0447,0.0943,0,0.101,0.671,103.897,4,202667
96,97,97,Mondiale,Emma,356047,5fTKAR6oTTtzCEEjxFb0SA,0.554,0.449,6,-11.269,1,0.0281,0.438,0,0.0827,0.517,77.971,4,214353
97,98,98,Natural,Imagine Dragons,354671,4zIO3ilp5HvTeK3HJHxhMP,0.448,0.612,2,-6.106,1,0.0708,0.216,0,0.08,0.213,97.773,4,189467
98,99,99,PERDONAMI,Salmo,352813,7kK2m2KDEL0W8oFq6fuOcf,0.661,0.853,1,-2.287,1,0.272,0.107,0,0.0852,0.655,76.499,4,135294
99,100,100,Supereroe,Emis Killa,351615,7uRwfVTXZRSOEpruUyXWMb,0.742,0.925,10,-4.754,1,0.0987,0.275,0,0.381,0.455,156.062,4,226237
100,101,101,Ti dedico il silenzio,Ultimo,350757,6GLmGfALwjzCaOiHwgfU7g,0.661,0.443,8,-9.303,1,0.0688,0.175,0,0.177,0.147,80.0,4,234250
101,102,102,Valzer,JUNIOR CALLY,350537,6lArfY3X98kkGCmnEq6BHG,0.708,0.724,7,-5.152,0,0.0494,0.147,0,0.0906,0.322,132.024,4,163864
102,103,103,I Like It,Cardi B,349843,58q2HKrzhC3ozto2nDdN4z,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,4,253390
103,104,104,Falling Down - Bonus Track,Lil Peep,348243,0Dn40gxVCMo5TkgS8Ik18Q,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,4,196400
104,105,105,Sempre In Due,Carl Brave x Franco126,347454,6ElWuGFrYbsf2mdHWUoGCk,0.596,0.758,9,-7.049,0,0.0802,0.0835,0,0.147,0.551,77.474,4,190452
105,106,106,Better Now,Post Malone,347050,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,4,231267
106,107,107,Ricchi x Sempre,Sfera Ebbasta,345111,0kHTkvGavvk2MjBTSUtOZx,0.599,0.734,3,-7.568,0,0.413,0.196,0,0.187,0.133,211.842,4,223787
107,108,108,La stessa,Alessandra Amoroso,342117,6ZOsBNvsw48kvmUFDet8tK,0.485,0.731,4,-3.403,1,0.102,0.478,0,0.129,0.409,101.163,4,226213
