,Unnamed: 0,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre,release date
0,0,1,1,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)",Charlie Charles,3604358,45zJRuzK9e6AO527NOW7Fy,0.775,0.6609999999999999,6,-6.178,0,0.183,0.0261,2.09e-05,0.11199999999999999,0.467,112.029,4,190700,R&B/Soul,2019-04-26
1,1,2,2,Ostia Lido,J-AX,3337114,2J9TGb5CRT4omfAgnKmXn5,0.8740000000000001,0.7859999999999999,9,-5.723,1,0.18600000000000003,0.114,0.0,0.10800000000000001,0.688,108.944,4,172945,Hip-Hop/Rap,2019-05-17
2,2,3,3,JAMBO,Takagi & Ketra,3148952,4H5arInh2BLVz94mIibTrv,0.74,0.777,7,-5.425,0,0.163,0.0399,0.0,0.0835,0.767,129.98,4,157024,Pop,2019-05-24
3,3,4,4,Veleno 7,Gemitaiz,2893932,3fV9z98dnQLSIPIMMJXCm7,0.8059999999999999,0.843,6,-6.237,0,0.0601,0.156,1.24e-05,0.363,0.327,132.991,4,173371,Hip-Hop/Rap,2019-06-07
4,4,5,5,Dove e quando,Benji & Fede,2255865,5BAJMdCQqax0oBQigQTl5h,0.763,0.6920000000000001,1,-6.1579999999999995,1,0.0381,0.0931,0.0,0.0644,0.691,124.99799999999999,4,190409,Sports,2019-05-31
5,5,6,6,Corazón Morado (feat. Sfera Ebbasta),Elettra Lamborghini,2068756,6stctriNY7UC7KyHcG7ZBH,0.73,0.8029999999999999,1,-4.57,1,0.0438,0.0171,7.72e-06,0.142,0.483,92.98700000000001,4,211589,Urbano latino,2019-06-14
6,6,7,7,I Don't Care (with Justin Bieber),Ed Sheeran,2032983,3HVWdVOQ0ZA45FuZGSfvns,0.7979999999999999,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.8420000000000001,101.956,4,219947,Pop,2019-05-10
7,7,8,8,bad guy,Billie Eilish,1992826,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,4,194088,Alternative,2019-03-29
8,8,9,9,Mambo Salentino,Boomdabash,1919865,7piIo15vVy3ULGXSpFs5xc,0.9059999999999999,0.662,3,-6.707000000000001,0,0.319,0.248,0.0,0.067,0.863,100.035,4,155414,Pop,2019-06-07
9,9,10,10,Look Back at It (feat. CAPO PLAZA),A Boogie Wit da Hoodie,1830019,34Jnbbi34tPtYdutY5Pd6G,0.7859999999999999,0.552,1,-8.189,1,0.0944,0.423,0.0,0.0873,0.551,96.025,4,225541,Hip-Hop/Rap,2019-06-07
10,10,11,11,Con Calma,Daddy Yankee,1788347,5w9c2J52mkdntKOmRLeM2m,0.737,0.86,8,-2.6519999999999997,0,0.0593,0.11,1.94e-06,0.0574,0.6559999999999999,93.98899999999999,4,193227,Urbano latino,2019-01-24
11,11,12,12,Una volta ancora (feat. Ana Mena),Fred De Palma,1623426,6gaeewGjNiQhWOUkWRSLTa,0.7709999999999999,0.638,8,-5.3420000000000005,1,0.0622,0.0848,0.0,0.10400000000000001,0.591,124.039,4,174291,Hip-Hop/Rap,2019-06-04
12,12,13,13,Someone You Loved,Lewis Capaldi,1590310,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,4,182161,Alternative,2019-05-17
13,13,14,14,Per Un Milione,Boomdabash,1579825,5L1HQLXeih82ecmY0tOH7w,0.741,0.7440000000000001,7,-4.099,0,0.0472,0.10300000000000001,0.0,0.0852,0.898,85.98700000000001,4,174616,Pop,2019-02-08
14,14,15,15,Elisir,Tedua,1492119,7sbVjYS23l02aoYoUsKSbQ,0.805,0.652,6,-7.399,0,0.0589,0.0461,0.0,0.10300000000000001,0.436,127.863,4,174492,Hip-Hop/Rap,2019-06-07
