,Unnamed: 0,Unnamed: 0.1,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre,release date
0,0,0,1,1,PUSSY (feat. Lazza & Salmo),Dark Polo Gang,2555796,7MhzmWFJYSEsL8wK7hufaC,0.852,0.7509999999999999,9,-3.738,1,0.28,0.252,1.05e-05,0.166,0.7,150.01,4,161325,Hip-Hop/Rap,2020-05-07
1,1,1,2,2,AMIRI BOYS (feat. Capo Plaza),Dark Polo Gang,2064080,336EcNskIVcF8deRT8m1zY,0.62,0.648,8,-5.672999999999999,1,0.505,0.062,0.0,0.109,0.515,89.995,4,155027,Hip-Hop/Rap,2020-05-07
2,2,2,3,3,SAVAGE (feat. Tedua),Dark Polo Gang,1930129,4kG6FMpUB3bUmlwLAmv6PM,0.711,0.631,8,-7.587999999999999,1,0.15,0.102,0.0,0.103,0.507,135.039,4,164266,Hip-Hop/Rap,2020-05-07
3,3,3,4,4,4L (feat. MamboLosco),Dark Polo Gang,1731161,73tvJPxq6K6J1Pd6p6it6t,0.698,0.555,9,-6.358,1,0.293,0.596,0.0,0.102,0.353,92.013,4,147713,Hip-Hop/Rap,2020-05-07
4,4,4,5,5,Good Times,Ghali,1606265,3p7xEm9a2jaWCPelAr3upo,0.7190000000000001,0.736,4,-6.32,0,0.0776,0.0315,0.0,0.0988,0.593,109.028,4,163073,Pop,2020-05-08
5,5,5,6,6,BIBERON (feat. DrefGold & ANNA),Dark Polo Gang,1572117,6yPfQyMA9azhv5yRfu6P3V,0.7829999999999999,0.573,5,-5.42,1,0.0887,0.322,0.0,0.17,0.5660000000000001,140.018,4,150378,Hip-Hop/Rap,2020-05-07
6,6,6,7,7,DARK LOVE GANG (feat. Ketama126),Dark Polo Gang,1528997,1aiAGn2OxoqoKHx9zfJe6N,0.723,0.65,5,-5.888,1,0.0404,0.084,0.0,0.0851,0.327,130.065,4,175080,Hip-Hop/Rap,2020-05-07
7,7,7,8,8,GOOBA,6ix9ine,1498692,4NhDYoQTYCdWHTvlbGVgwo,0.611,0.688,1,-5.688,1,0.341,0.0264,0.0,0.251,0.393,178.46200000000005,4,132303,Hip-Hop/Rap,2020-05-08
8,8,8,9,9,Fiori di Chernobyl,Mr.Rain,1413669,54PxYcGpSUCmlpGdFGTaYR,0.486,0.619,0,-9.114,1,0.118,0.327,0.0,0.188,0.32,159.815,4,175612,Hip-Hop/Rap,2020-03-13
9,9,9,10,10,NO STUPID (feat. Boro Boro & Samurai Jay),Dark Polo Gang,1380958,0OnjJWjBuVIvHZ1n0Oe7ZC,0.7559999999999999,0.6809999999999999,1,-5.945,1,0.19,0.103,0.0,0.1,0.835,142.145,4,179305,Hip-Hop/Rap,2020-05-07
10,10,10,11,11,death bed (coffee for your head),Powfu,1319949,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,173333,Hip-Hop/Rap,2020-02-08
11,11,11,12,12,Auto Blu,Shiva,1291788,2chEq24EHjyw9Zjmwq0hlS,0.82,0.7829999999999999,5,-6.146,0,0.0621,0.0158,0.0,0.0938,0.653,130.015,4,166087,Hip-Hop/Rap,2020-03-26
12,12,12,13,13,Roses - Imanbek Remix,SAINt JHN,1268989,24Yi9hE78yPEbZ4kxyoXAI,0.77,0.7240000000000001,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,4,176840,Dance,2019-10-09
13,13,13,14,14,DARK,Dark Polo Gang,1245593,1z7AtsT8QvKWP7834ef9sN,0.73,0.652,7,-5.715,1,0.269,0.217,0.0,0.0474,0.562,82.906,4,104256,Hip-Hop/Rap,2020-05-07
14,14,14,15,15,Nena (feat. Geolier & Andry The Hitmaker),Boro Boro,1135931,6TEPwGCSq4XGWu3hnZkC5m,0.78,0.7709999999999999,6,-4.99,0,0.0538,0.0469,0.0,0.1,0.355,102.952,4,149126,Hip-Hop/Rap,2020-04-09
15,15,15,16,16,#FREETRAFFIK (feat. Traffik & Oni One),Dark Polo Gang,1079975,5HN0pZdklgXSD363mhsoGw,0.764,0.6970000000000001,6,-5.686,0,0.266,0.256,0.0,0.119,0.529,125.884,4,164864,Hip-Hop/Rap,2020-05-07
16,16,16,17,17,THE SCOTTS,THE SCOTTS,1073363,39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.97899999999998,4,165978,Hip-Hop/Rap,2020-04-24
17,17,17,18,18,Blinding Lights,The Weeknd,1059959,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,200040,R&B/Soul,2020-03-20
18,18,18,19,19,blun7 a swishland,tha Supreme,959307,7HwvPmK74MBRDhCIyMXReP,0.6920000000000001,0.792,7,-5.984,1,0.245,0.13,0.0,0.255,0.5660000000000001,129.88299999999998,4,167760,Hip-Hop/Rap,2019-11-15
19,19,19,20,20,Boogieman (feat. Salmo),Ghali,921900,6E9QGyDV0fkeanLFePwybi,0.8,0.7240000000000001,1,-7.843,1,0.0704,0.0859,0.000254,0.0922,0.35,112.048,4,159911,Hip-Hop/Rap,2020-05-08
20,20,20,21,21,Il bacio di Klimt,Emanuele Aloia,920134,3E1FgPTXX203rgBTD5nlKF,0.685,0.764,9,-4.503,1,0.0664,0.45,0.0,0.227,0.315,80.03699999999998,4,177000,Pop,2020-04-21
21,21,21,22,22,GANG,Dark Polo Gang,906642,0Tw1Fxg80YAy39PhBKzmtf,0.82,0.7929999999999999,2,-5.275,1,0.246,0.0385,1.64e-06,0.322,0.192,138.065,4,170392,Hip-Hop/Rap,2020-05-07
22,22,22,23,23,goosebumps,Travis Scott,876607,6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4,243837,Hip-Hop/Rap,2016-09-16
23,23,23,24,24,Bando,ANNA,863048,0kzGjSRHGVcaWxagzQwAyD,0.97,0.7390000000000001,10,-4.917,0,0.295,0.155,0.0,0.111,0.414,120.061,4,168000,Christmas,2020-01-31
24,24,24,25,25,Per sentirmi vivo,Fasma,855717,20v9X8TV0AgwNGFT71OX3w,0.579,0.718,2,-5.05,1,0.293,0.16699999999999998,0.0,0.114,0.211,168.27900000000002,4,177880,Hip-Hop/Rap,2020-02-28
25,25,25,26,26,Spigoli,Carl Brave,844851,1XQvMjA9IiIx1lAiTHSxQi,0.718,0.703,0,-5.886,0,0.0537,0.145,0.0,0.104,0.6679999999999999,132.987,4,256788,Pop,2020-05-12
26,26,26,27,27,SICKO MODE,Travis Scott,841059,2xLMifQCjDGFmkHkpNLD9h,0.8340000000000001,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.00799999999995,4,312820,Hip-Hop/Rap,2018-08-03
27,27,27,28,28,Toosie Slide,Drake,835639,466cKvZn1j45IpxDdYZqdA,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,4,247059,Hip-Hop/Rap,2020-05-01
28,28,28,29,29,Tusa,KAROL G,824591,7k4t7uLgtOxPwTpFmtJNTY,0.8029999999999999,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4,200960,Urbano latino,2019-11-07
29,29,29,30,30,Rapide,Mahmood,807162,2cf1g08CvDuhwXFqxjetQi,0.442,0.557,0,-7.77,1,0.0711,0.35700000000000004,0.0,0.11,0.124,119.48,4,243625,Pop,2020-01-16
30,30,30,31,31,Le Feste Di Pablo (con Fedez),CARA,800301,73x0EIT2YyIxTs3Rpd3n5T,0.7240000000000001,0.66,5,-6.835,1,0.157,0.0294,0.0,0.275,0.5589999999999999,102.036,4,193041,Pop,2020-04-09
31,31,31,32,32,Dilemme (with tha Supreme & Mara Sattei),Lous and The Yakuza,774003,1Whf2ZaesM1gXlU0z3Fslt,0.8590000000000001,0.54,5,-6.775,0,0.0825,0.0329,0.0,0.0976,0.5539999999999999,145.02,4,231333,Music Documentaries,2020-04-02
32,32,32,33,33,Cacao (feat. Pyrex),Ghali,754478,0R1il0ITLNcNInIBqwfXKw,0.915,0.51,1,-5.33,1,0.096,0.0226,0.0,0.304,0.327,124.028,3,113831,Hip-Hop/Rap,2020-05-08
33,33,33,34,34,MAMACITA,Black Eyed Peas,741953,14wf185UxfNbSy8dwt4r4q,0.894,0.635,2,-6.9289999999999985,1,0.0473,0.193,0.00105,0.0823,0.428,105.013,4,249143,Pop,2020-04-10
34,34,34,35,35,Una volta ancora (feat. Ana Mena),Fred De Palma,717051,6swHvavSroD4ur3Q18MjYz,0.7709999999999999,0.638,8,-5.3420000000000005,1,0.0622,0.0848,0.0,0.104,0.591,124.039,4,174291,Hip-Hop/Rap,2019-09-13
35,35,35,36,36,Ringo Starr,Pinguini Tattici Nucleari,711725,5yfE6GXTuJaAlepKoE0wJE,0.754,0.925,4,-2.912,0,0.0512,0.304,0.0,0.313,0.857,114.077,4,183333,Pop,2020-02-07
36,36,36,37,37,Boss Bitch,Doja Cat,706448,78qd8dvwea0Gosb6Fe6j3k,0.7070000000000001,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,4,134240,Pop,2020-01-23
37,37,37,38,38,Chega,Gaia,688408,0XdjGLxXQhiPkOqXtAyEZ9,0.836,0.565,0,-6.436,1,0.121,0.596,2.47e-06,0.139,0.7290000000000001,140.037,4,184576,Pop,2020-03-20
38,38,38,39,39,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,653327,00GxbkrW4m1Tac5xySEJ4M,0.754,0.725,8,-6.058,1,0.0661,0.0104,0.0,0.192,0.271,120.002,4,208133,Hip-Hop/Rap,2019-08-30
39,39,39,40,40,Dance Monkey,Tones And I,644341,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,4,209755,Alternative,2019-05-10
