,Unnamed: 0,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre,release date
0,0,1,1,M' Manc (con Geolier & Sfera Ebbasta),Shablo,4969580,0MLu1cFYL4ikdRTdasCQT9,0.703,0.7040000000000001,6,-6.117000000000001,0,0.0641,0.048,0.0,0.41,0.725,139.933,4,180000,Hip-Hop/Rap,2020-06-11
1,1,2,2,Mediterranea,Irama,3521416,47xPl1gvgdx4Z9dNUuloPg,0.711,0.9159999999999999,11,-4.678,1,0.0587,0.113,0.0,0.188,0.79,130.013,4,177810,Pop,2020-05-19
2,2,3,3,Sono un bravo ragazzo un po' fuori di testa,Random,2308801,5EXLYWZGnmYC01H53WUAhi,0.75,0.581,5,-9.957,1,0.128,0.16699999999999998,0.0,0.203,0.624,121.081,4,170579,Pop,2020-06-05
3,3,4,4,MAMACITA,Black Eyed Peas,2114953,2g1ukx0VolwI31t8z5vprw,0.88,0.63,2,-6.945,1,0.0469,0.19399999999999998,0.0005650000000000001,0.0939,0.447,105.001,4,251429,Pop,2020-04-09
4,4,5,5,"Rari - feat. Paky, Shiva",Tedua,2065181,24UaUs34XY2PDek7j0OEgg,0.7759999999999999,0.853,4,-5.06,0,0.428,0.078,0.0,0.0821,0.29,90.227,4,133963,none,2020-06-12
5,5,6,6,Il bacio di Klimt,Emanuele Aloia,2004415,3E1FgPTXX203rgBTD5nlKF,0.685,0.764,9,-4.503,1,0.0664,0.45,0.0,0.22699999999999998,0.315,80.03699999999999,4,177000,Pop,2020-04-21
6,6,7,7,Good Times,Ghali,1935567,5165XjbVxwq9dQDxNk7hmf,0.7190000000000001,0.736,4,-6.32,0,0.0776,0.0315,0.0,0.0988,0.593,109.02799999999999,4,163073,Pop,2020-05-29
7,7,8,8,Bimbi Per Strada (Children),Fedez,1927714,6KF78W66DcQ9m5YqR0r5Ig,0.642,0.8059999999999999,5,-5.4510000000000005,0,0.17600000000000002,0.0206,0.0,0.11,0.562,134.002,4,200821,Pop,2020-06-11
8,8,9,9,Karaoke,Boomdabash,1836984,0D4GpOPInKiPxEfQMchu4p,0.929,0.625,1,-5.728,1,0.14,0.289,1.2e-06,0.386,0.578,122.03,4,156493,Karaoke,2020-06-11
9,9,10,10,Polvere (feat. Capo Plaza),Tedua,1737951,0ZzXPo0gS5h718w7WErG44,0.48200000000000004,0.483,5,-8.993,0,0.28300000000000003,0.11800000000000001,9.43e-06,0.10400000000000001,0.139,181.945,3,252992,Hip-Hop/Rap,2020-06-05
10,10,11,11,ELEGANTE (feat. Sfera Ebbasta),DrefGold,1665810,7qADAhkEs9vv3ll4hP8ybC,0.794,0.5670000000000001,6,-6.487,0,0.035,0.39899999999999997,3.77e-06,0.0919,0.299,105.98,4,220896,Hip-Hop/Rap,2020-05-21
11,11,12,12,"TesTa TrA Le NuVoLE, pT. 2",Alfa,1565521,04UtYEP1Jc0GRxbvH1B6Nk,0.568,0.512,3,-7.809,1,0.0735,0.0236,1.1599999999999999e-05,0.11699999999999999,0.604,118.947,4,180000,Pop,2020-05-21
12,12,13,13,Spigoli,Carl Brave,1497721,1XQvMjA9IiIx1lAiTHSxQi,0.718,0.703,0,-5.886,0,0.0537,0.145,0.0,0.10400000000000001,0.6679999999999999,132.987,4,256788,Pop,2020-05-12
13,13,14,14,ROCKSTAR (feat. Roddy Ricch),DaBaby,1384871,7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,11,-7.956,1,0.16399999999999998,0.247,0.0,0.10099999999999999,0.49700000000000005,89.977,4,181733,Hip-Hop/Rap,2020-04-17
14,14,15,15,Nena (feat. Geolier & Andry The Hitmaker),Boro Boro,1365043,6TEPwGCSq4XGWu3hnZkC5m,0.78,0.7709999999999999,6,-4.99,0,0.0538,0.0469,0.0,0.1,0.355,102.95200000000001,4,149126,Hip-Hop/Rap,2020-04-09
15,15,16,16,Roses - Imanbek Remix,SAINt JHN,1334846,24Yi9hE78yPEbZ4kxyoXAI,0.77,0.7240000000000001,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,4,176840,Dance,2019-10-09
16,16,17,17,Lo Sai,Tedua,1317809,2fQtrzMUMmnnJ5YxSb55MR,0.83,0.586,9,-6.097,1,0.213,0.0617,0.0,0.106,0.5870000000000001,133.957,4,201345,Hip-Hop/Rap,2020-06-05
17,17,18,18,Fiori di Chernobyl,Mr.Rain,1313809,54PxYcGpSUCmlpGdFGTaYR,0.486,0.619,0,-9.113999999999999,1,0.11800000000000001,0.327,0.0,0.188,0.32,159.815,4,175612,Hip-Hop/Rap,2020-03-13
18,18,19,19,La Story Infinita - feat. Massimo Pericolo,Tedua,1284161,6v8BOEmMSoAa81yNLY3E8J,0.747,0.775,10,-5.246,0,0.121,0.107,0.0,0.0732,0.243,95.96600000000001,4,170700,none,2020-06-12
19,19,20,20,Como Llora,Juanfran,1254820,52zq2a71SGs3f1vJuv59ui,0.8270000000000001,0.629,6,-3.966,0,0.185,0.183,0.0,0.084,0.486,88.064,4,187500,Latino,2020-02-07
20,20,21,21,Chega,Gaia,1221643,76w5oLSdgYvA0Bt4dTUe0Z,0.838,0.563,9,-6.415,0,0.114,0.583,2.58e-06,0.134,0.764,140.037,4,184707,Pop,2020-05-22
21,21,22,22,death bed (coffee for your head),Powfu,1202361,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,173333,Hip-Hop/Rap,2020-02-08
22,22,23,23,Guaranà,Elodie,1159732,1KXpcoggYmNTPCRXIz2m9Z,0.79,0.875,8,-3.59,0,0.131,0.0358,3.37e-05,0.162,0.581,116.964,4,194346,Pop,2020-05-12
23,23,24,24,Auto Blu,Shiva,1156693,2chEq24EHjyw9Zjmwq0hlS,0.82,0.7829999999999999,5,-6.146,0,0.0621,0.0158,0.0,0.0938,0.653,130.015,4,166087,Hip-Hop/Rap,2020-03-26
24,24,25,25,GOOBA,6ix9ine,1118603,4NhDYoQTYCdWHTvlbGVgwo,0.611,0.688,1,-5.688,1,0.341,0.0264,0.0,0.251,0.39299999999999996,178.46200000000002,4,132303,Hip-Hop/Rap,2020-05-08
25,25,26,26,Party HH - feat. Lazza,Tedua,1111392,61koTDrwN9kZQmDhtH7NpM,0.695,0.807,7,-4.427,1,0.257,0.172,0.0,0.155,0.39799999999999996,99.912,4,211500,none,2020-06-05
26,26,27,27,"Rap City - feat. Gemitaiz, MadMan",Tedua,1101525,5kqzy7em2F9RZpVoPa6u3a,0.79,0.634,8,-6.867999999999999,1,0.38299999999999995,0.0933,0.0,0.179,0.495,90.616,4,152700,none,2020-06-12
27,27,28,28,Tusa,KAROL G,1076073,7k4t7uLgtOxPwTpFmtJNTY,0.8029999999999999,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4,200960,Urbano latino,2019-11-07
28,28,29,29,Breaking Me,Topic,1073869,3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,4,166794,Dance,2019-12-19
29,29,30,30,Blinding Lights,The Weeknd,983647,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,171.005,4,200040,R&B/Soul,2020-03-20
30,30,31,31,Manhattan - feat. Wildbandana,Tedua,953718,1ZfOO2GXFZCNJqZFwsiKRL,0.69,0.539,1,-7.461,1,0.161,0.0936,0.0,0.149,0.341,140.111,4,190999,none,2020-06-05
31,31,32,32,Le Feste Di Pablo (con Fedez),CARA,944356,73x0EIT2YyIxTs3Rpd3n5T,0.7240000000000001,0.66,5,-6.835,1,0.157,0.0294,0.0,0.275,0.5589999999999999,102.036,4,193041,Pop,2020-04-09
32,32,33,33,Pass - feat. Tony Effe,Tedua,929028,6x6gHbKyrznz0xX2WJudIv,0.745,0.628,4,-5.757999999999999,1,0.401,0.39799999999999996,0.0,0.17,0.6920000000000001,156.034,4,158710,none,2020-06-12
33,33,34,34,"Colori – feat. Rkomi, Lita",Tedua,915619,1FYMHrbdJxiiF4ur4ZrJy2,0.812,0.6809999999999999,7,-6.321000000000001,0,0.34299999999999997,0.273,0.0,0.0918,0.209,134.909,4,233102,none,2020-06-05
34,34,35,35,Clone,Tedua,904418,4DiKuWqRpGl5TZFg7K2tNy,0.7120000000000001,0.588,11,-5.132999999999999,1,0.327,0.0694,0.0,0.114,0.32,139.785,4,149271,Hip-Hop/Rap,2020-06-12
35,35,36,36,Boogieman (feat. Salmo),Ghali,857598,58bRZqUPWnpop0WC9ob5wJ,0.8,0.7240000000000001,1,-7.843,1,0.0704,0.0859,0.000254,0.0922,0.35,112.04799999999999,4,159911,Hip-Hop/Rap,2020-05-29
36,36,37,37,Toosie Slide,Drake,848054,466cKvZn1j45IpxDdYZqdA,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,4,247059,Hip-Hop/Rap,2020-05-01
37,37,38,38,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,813017,00GxbkrW4m1Tac5xySEJ4M,0.754,0.725,8,-6.058,1,0.0661,0.0104,0.0,0.192,0.271,120.00200000000001,4,208133,Hip-Hop/Rap,2019-08-30
38,38,39,39,Una voglia assurda,J-AX,808642,2MLz3Pgc9NwNrMfOlILmKt,0.821,0.7090000000000001,5,-7.407,0,0.0747,0.0199,0.0,0.0416,0.765,109.948,4,174646,Pop,2020-05-29
39,39,40,40,blun7 a swishland,tha Supreme,802069,7HwvPmK74MBRDhCIyMXReP,0.6920000000000001,0.792,7,-5.984,1,0.245,0.13,0.0,0.255,0.5660000000000001,129.88299999999998,4,167760,Hip-Hop/Rap,2019-11-15
40,40,41,41,Dilemme (with tha Supreme & Mara Sattei),Lous and The Yakuza,801886,1Whf2ZaesM1gXlU0z3Fslt,0.8590000000000001,0.54,5,-6.775,0,0.0825,0.0329,0.0,0.0976,0.5539999999999999,145.02,4,231333,Music Documentaries,2020-04-02
41,41,42,42,Missili,Frah Quintale,797500,5dcyltc1ataieXIeTqhH3t,0.706,0.6829999999999999,4,-5.402,0,0.105,0.44299999999999995,0.0,0.313,0.6759999999999999,90.039,4,195349,Pop,2018-06-29
42,42,43,43,16 Marzo (feat. Gow Tribe),Achille Lauro,791762,3nwH3HTFzpnRV5SqM9um3r,0.489,0.611,0,-4.981,1,0.0298,0.215,0.0,0.127,0.22699999999999998,129.929,4,233493,Pop,2020-04-03
