,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
0,1,1,The Box,Roddy Ricch,15264900,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,4,196653,Hip-Hop/Rap
1,2,2,Blinding Lights,The Weeknd,8663011,0sf12qNH5qcw8qpgymFOqD,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,4,201573,R&B/Soul
2,3,3,Say So,Doja Cat,8494545,3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,4,237893,R&B/Soul
3,4,4,Blueberry Faygo,Lil Mosey,8366456,22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034,4,162547,Hip-Hop/Rap
4,5,5,Intentions (feat. Quavo),Justin Bieber,8139379,4umIPjkehX1r7uhmGvXiSV,0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,4,212867,Pop
5,6,6,Life Is Good (feat. Drake),Future,7815588,5yY9lUy8nbvjM1Uyo1Uqoc,0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,4,237735,Hip-Hop/Rap
6,7,7,That Way,Lil Uzi Vert,7756870,5raTDhlbxFDnpn89bxArdH,0.719,0.611,7,-5.01,0,0.0403,0.0582,0,0.155,0.489,129.962,4,212354,Hip-Hop/Rap
7,8,8,Stupid Love,Lady Gaga,7497882,2kJu14V7hbZw3I4K8L8SXb,0.676,0.815,8,-4.294,1,0.0625,0.00146,0.00041,0.275,0.796,117.973,4,193531,Pop
8,9,9,ROXANNE,Arizona Zervas,7035145,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,5,163636,Hip-Hop/Rap
9,10,10,High Fashion (feat. Mustard),Roddy Ricch,6813218,07KXEDMj78x68D884wgVEm,0.831,0.499,11,-8.442,0,0.114,0.269,0,0.3,0.511,97.956,4,220487,Hip-Hop/Rap
10,11,11,Heatin Up (feat. Gunna),Lil Baby,6682754,7KSSdFCBHCfq4KPzz78ghk,0.788,0.436,1,-9.435,1,0.364,0.0611,0,0.0979,0.341,129.847,4,177314,Hip-Hop/Rap
11,12,12,Don't Start Now,Dua Lipa,6659492,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,4,183290,Electronic
12,13,13,La Difícil,Bad Bunny,6416438,6NfrH0ANGmgBXyxgV2PeXt,0.685,0.848,8,-4.561,0,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,4,163084,Urbano latino
13,14,14,WHATS POPPIN,Jack Harlow,6320293,3Q6F8RByyhRTJpRtZLY3cg,0.923,0.604,11,-6.671,0,0.245,0.017,0,0.272,0.826,145.062,4,139741,Hip-Hop/Rap
14,15,15,Ignorantes,Bad Bunny,6300993,38RIEav39FGi86jppxO0du,0.85,0.536,1,-5.161,1,0.0599,0.267,3.89e-05,0.0996,0.505,96.029,4,210607,Urbano latino
15,16,16,Si Veo a Tu Mamá,Bad Bunny,6277199,41wtwzCZkXwpnakmwJ239F,0.9,0.603,2,-5.313,1,0.0646,0.402,4.81e-06,0.134,0.824,129.928,4,170972,Urbano latino
16,17,17,Circles,Post Malone,6198842,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4,215280,House
17,18,18,Falling,Trevor Daniel,6043376,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.085,4,159382,Pop
18,19,19,After Hours,The Weeknd,5757047,4ejyZ4uJEXUURcgKp1kP8v,0.663,0.567,5,-5.941,0,0.0309,0.0938,0.00978,0.124,0.139,108.959,4,361947,R&B/Soul
19,20,20,Woah,Lil Baby,5545953,02RCbjb9czvQKNGBmEmWob,0.883,0.599,11,-5.551,1,0.248,0.0177,0,0.179,0.413,142.976,4,183011,Hip-Hop/Rap
20,21,21,Dance Monkey,Tones And I,5478360,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,4,209755,Alternative
21,22,22,Godzilla (feat. Juice WRLD),Eminem,5417919,7FIWs0pqAYbP91WWM0vlTQ,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,4,210800,Hip-Hop/Rap
22,23,23,Vete,Bad Bunny,5260920,2n7ohqg1s68ToAHh4u9mcW,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,4,192024,Urbano latino
23,24,24,La Santa,Bad Bunny,5243371,69vlMrzHwATKzupwNcUPyK,0.744,0.868,1,-4.524,1,0.047,0.0326,0,0.0822,0.586,93.037,4,206420,Urbano latino
24,25,25,Adore You,Harry Styles,5200123,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,207133,Pop
25,26,26,Sunday Best,Surfaces,5011637,1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,4,158571,Pop
